iter	Passed	Remaining
444	1240	1547
445	1242	1543
446	1244	1539
447	1245	1534
448	1253	1538
449	1255	1534
450	1256	1529
451	1258	1525
452	1260	1521
453	1261	1517
454	1271	1522
455	1273	1518
456	1274	1514
457	1276	1510
458	1277	1506
459	1282	1505
460	1284	1501
461	1285	1497
462	1287	1493
463	1289	1489
464	1297	1493
465	1299	1489
466	1301	1485
467	1302	1480
468	1304	1476
469	1313	1480
470	1315	1477
471	1316	1472
472	1318	1468
473	1319	1464
474	1324	1464
475	1326	1460
476	1328	1456
477	1329	1452
478	1331	1448
479	1333	1444
480	1342	1448
481	1344	1444
482	1345	1440
483	1348	1437
484	1357	1441
485	1359	1437
486	1360	1433
487	1362	1429
488	1364	1425
489	1373	1429
490	1374	1425
491	1376	1421
492	1378	1417
493	1379	1413
494	1389	1418
495	1392	1414
496	1393	1410
497	1395	1406
498	1404	1410
499	1406	1406
500	1407	1402
501	1409	1398
502	1411	1394
503	1419	1396
504	1420	1392
505	1422	1388
506	1424	1384
507	1425	1381
508	1431	1380
509	1432	1376
510	1434	1372
511	1436	1369
512	1441	1367
513	1457	1378
514	1461	1376
515	1465	1374
516	1473	1376
517	1475	1373
518	1477	1369
519	1479	1365
520	1480	1361
521	1489	1363
522	1490	1359
523	1492	1355
524	1493	1351
525	1495	1347
526	1505	1351
527	1506	1347
528	1508	1343
529	1510	1339
530	1511	1335
531	1520	1337
532	1522	1334
533	1524	1330
534	1525	1326
535	1527	1322
536	1535	1324
537	1537	1320
538	1538	1316
539	1540	1312
540	1541	1308
541	1547	1307
542	1548	1303
543	1550	1299
544	1552	1295
545	1553	1291
546	1555	1287
547	1556	1283
548	1558	1279
549	1564	1280
550	1566	1276
551	1568	1272
552	1569	1268
553	1571	1264
554	1572	1260
555	1580	1262
556	1583	1259
557	1584	1255
558	1586	1251
559	1587	1247
560	1589	1243
561	1599	1246
562	1603	1244
563	1612	1246
564	1614	1243
565	1616	1239
566	1618	1235
567	1620	1232
568	1629	1234
569	1630	1230
570	1632	1226
571	1633	1222
572	1635	1218
573	1643	1220
574	1645	1216
575	1646	1212
576	1648	1208
577	1650	1204
578	1651	1201
579	1655	1198
580	1657	1195
581	1659	1191
582	1660	1187
583	1662	1184
584	1670	1184
585	1672	1181
586	1673	1177
587	1675	1173
588	1676	1170
589	1678	1166
590	1684	1165
591	1688	1163
592	1690	1160
593	1692	1156
594	1693	1152
595	1701	1153
596	1703	1150
597	1705	1146
598	1706	1142
599	1708	1138
600	1709	1135
601	1718	1135
602	1719	1132
603	1721	1128
604	1724	1125
605	1731	1125
606	1733	1122
607	1735	1118
608	1738	1115
609	1740	1112
610	1747	1112
611	1749	1109
612	1751	1105
613	1753	1102
614	1754	1098
615	1756	1094
616	1764	1095
617	1765	1091
618	1767	1087
619	1769	1084
620	1770	1080
621	1775	1078
622	1777	1075
623	1779	1072
624	1780	1068
625	1782	1064
626	1784	1061
627	1793	1062
628	1795	1058
629	1796	1055
630	1798	1051
631	1800	1048
632	1807	1048
633	1809	1044
634	1811	1041
635	1812	1037
636	1814	1033
637	1815	1030
638	1820	1028
639	1822	1025
640	1824	1021
641	1825	1018
642	1827	1014
643	1834	1014
644	1838	1011
645	1839	1008
646	1841	1004
647	1842	1001
648	1849	1000
649	1851	997
650	1854	993
651	1856	990
652	1859	987
653	1863	985
654	1866	983
655	1868	980
656	1872	977
657	1874	974
658	1877	971
659	1879	968
660	1883	965
661	1888	964
662	1890	960
663	1892	957
664	1894	954
665	1896	950
666	1903	950
667	1905	946
668	1906	943
669	1908	939
670	1909	936
671	1911	932
672	1916	931
673	1917	927
674	1919	924
675	1921	920
676	1922	917
677	1924	913
678	1925	910
679	1932	909
680	1934	906
681	1936	902
682	1937	899
683	1939	895
684	1940	892
685	1943	889
686	1947	887
687	1949	883
688	1950	880
689	1952	877
690	1953	873
691	1958	871
692	1961	868
693	1964	866
694	1970	864
695	1973	861
696	1975	858
697	1976	855
698	1978	851
699	1979	848
700	1984	846
701	1988	844
702	1990	840
703	1991	837
704	1993	834
705	1995	830
706	1999	828
707	2004	826
708	2005	823
709	2007	819
710	2009	816
711	2010	813
712	2015	811
713	2018	808
714	2019	805
715	2021	801
716	2023	798
717	2024	795
718	2028	792
719	2033	790
720	2034	787
721	2036	784
722	2037	780
723	2039	777
724	2040	774
725	2048	773
726	2050	769
727	2052	766
728	2053	763
729	2055	760
730	2059	757
731	2064	755
732	2065	752
733	2067	749
734	2068	745
735	2070	742
736	2074	740
737	2079	738
738	2080	734
739	2082	731
740	2083	728
741	2085	725
742	2086	721
743	2093	720
744	2097	717
745	2100	715
746	2102	712
747	2109	710
748	2111	707
749	2114	704
750	2119	702
751	2123	700
752	2125	697
753	2127	693
754	2128	690
755	2130	687
756	2134	685
757	2138	682
758	2140	679
759	2142	676
760	2143	673
761	2145	670
762	2150	668
763	2156	666
764	2158	662
765	2159	659
766	2161	656
767	2166	654
768	2168	651
769	2170	648
770	2172	645
771	2174	642
772	2176	639
773	2182	637
774	2184	634
775	2186	631
776	2187	627
777	2189	624
778	2197	623
779	2198	620
780	2200	616
781	2201	613
782	2203	610
783	2205	607
784	2211	605
785	2213	602
786	2215	599
787	2217	596
788	2218	593
789	2220	590
790	2227	588
791	2228	585
792	2230	582
793	2232	579
794	2233	575
795	2235	572
796	2241	570
797	2242	567
798	2244	564
799	2246	561
800	2247	558
801	2249	555
802	2253	552
803	2255	549
804	2258	547
805	2260	544
806	2262	541
807	2264	538
808	2267	535
809	2271	532
810	2272	529
811	2274	526
812	2276	523
813	2277	520
814	2279	517
815	2283	515
816	2286	512
817	2288	509
818	2289	506
819	2291	503
820	2293	500
821	2301	498
822	2303	495
823	2305	492
824	2307	489
825	2308	486
826	2310	483
827	2315	480
828	2317	477
829	2318	474
830	2320	471
831	2322	468
832	2329	467
833	2334	464
834	2344	463
835	2346	460
836	2348	457
837	2349	454
838	2351	451
839	2357	449
840	2361	446
841	2363	443
842	2365	440
843	2366	437
844	2372	435
845	2375	432
846	2376	429
847	2378	426
848	2380	423
849	2381	420
850	2388	418
851	2390	415
852	2391	412
853	2393	409
854	2395	406
855	2396	403
856	2401	400
857	2404	397
858	2405	394
859	2407	391
860	2408	388
861	2410	385
862	2418	383
863	2419	380
864	2421	377
865	2422	374
866	2424	371
867	2425	368
868	2433	366
869	2435	363
870	2436	360
871	2438	357
872	2439	354
873	2441	351
874	2447	349
875	2449	346
876	2451	343
877	2452	340
878	2454	337
879	2456	334
880	2464	332
881	2466	329
882	2467	326
883	2469	324
884	2470	321
885	2472	318
886	2479	315
887	2482	313
888	2485	310
889	2486	307
890	2488	304
891	2494	302
892	2496	299
893	2498	296
894	2499	293
895	2501	290
896	2502	287
897	2511	285
898	2513	282
899	2515	279
900	2517	276
901	2522	274
902	2524	271
903	2526	268
904	2528	265
905	2529	262
906	2531	259
907	2539	257
908	2540	254
909	2542	251
910	2544	248
911	2545	245
912	2547	242
913	2554	240
914	2556	237
915	2557	234
916	2559	231
917	2561	228
918	2562	225
919	2566	223
920	2568	220
921	2570	217
922	2571	214
923	2573	211
924	2574	208
925	2578	206
926	2583	203
927	2584	200
928	2586	197
929	2587	194
930	2589	191
931	2590	189
932	2597	186
933	2599	183
934	2601	180
935	2602	177
936	2604	175
937	2605	172
938	2611	169
939	2617	167
940	2619	164
941	2620	161
942	2622	158
943	2630	156
944	2632	153
945	2634	150
946	2636	147
947	2638	144
948	2645	142
949	2646	139
950	2648	136
951	2649	133
952	2651	130
953	2653	127
954	2660	125
955	2661	122
956	2663	119
957	2664	116
958	2666	114
959	2668	111
960	2672	108
961	2674	105
962	2676	102
963	2677	99
964	2679	97
965	2681	94
966	2682	91
967	2684	88
968	2689	86
969	2691	83
970	2693	80
971	2695	77
972	2696	74
973	2698	72
974	2705	69
975	2706	66
976	2708	63
977	2710	60
978	2711	58
979	2713	55
980	2714	52
981	2720	49
982	2725	47
983	2736	44
984	2738	41
985	2739	38
986	2741	36
987	2742	33
988	2744	30
989	2746	27
990	2750	24
991	2752	22
992	2753	19
993	2755	16
994	2757	13
995	2758	11
996	2766	8
997	2767	5
998	2769	2
999	2771	0
